"Scenario_Sales","Scenario_Lifetime","Scenario_Capacity","Scenario_Grid","Scenario_mpg","Scenario_Recycling","EV_kgCO2eq","EV_kgLithium","ICE_kgCO2eq","ICE_kgLithium","delta_co2","delta_li","metric"
"Ambitious","Long LIB Duration","Low LIB Capacity","Reference case","Reference","0%",9099457848870.98,1101340060.26667,25607418680643.4,23112.3758907101,-16507960831.7724,1101316947.89078,14.9892915598803
"Ambitious","Long LIB Duration","Low LIB Capacity","Reference case","Reference","20%",9104381072201.8,1018838197.276,25607418680643.4,23112.3758907101,-16503037608.4416,1018815084.90011,16.1982658610317
"Ambitious","Long LIB Duration","Low LIB Capacity","Reference case","Reference","40%",9109304295532.62,936336334.285324,25607418680643.4,23112.3758907101,-16498114385.1108,936313221.909433,17.6202941484325
"Ambitious","Long LIB Duration","Low LIB Capacity","Reference case","Reference","60%",9114227518863.44,853834471.29465,25607418680643.4,23112.3758907101,-16493191161.7799,853811358.918759,19.3171371983929
"Ambitious","Long LIB Duration","Low LIB Capacity","Reference case","Reference","80%",9119150742194.26,771332608.303975,25607418680643.4,23112.3758907101,-16488267938.4491,771309495.928084,21.3769803502931
"Ambitious","Reference","Reference","Cambium NREL","Improved MPG","0%",9106719663186.6,1430186703.66289,23026269431545.3,23211.0264514974,-13919549768.3587,1430163492.63644,9.73283812656883
"Ambitious","Reference","Reference","Cambium NREL","Improved MPG","20%",9114842895565.76,1293899958.14122,23026269431545.3,23211.0264514974,-13911426535.9796,1293876747.11477,10.7517401228524
"Ambitious","Reference","Reference","Cambium NREL","Improved MPG","40%",9122966127944.91,1157613212.61955,23026269431545.3,23211.0264514974,-13903303303.6004,1157590001.5931,12.0105592519514
"Ambitious","Reference","Reference","Cambium NREL","Improved MPG","60%",9131089360324.07,1021326467.09788,23026269431545.3,23211.0264514974,-13895180071.2213,1021303256.07143,13.6053419869343
"Ambitious","Reference","Reference","Cambium NREL","Improved MPG","80%",9139212592703.22,885039721.57621,23026269431545.3,23211.0264514974,-13887056838.8421,885016510.549759,15.6912969117556
"Ambitious","Reference","Reference","Cambium NREL","Reference","0%",9106719663186.6,1430186703.66289,24892927868953.3,23222.8143594195,-15786208205.7667,1430163480.84853,11.0380445432718
"Ambitious","Reference","Reference","Cambium NREL","Reference","20%",9114842895565.76,1293899958.14122,24892927868953.3,23222.8143594195,-15778084973.3875,1293876735.32686,12.1944266734201
"Ambitious","Reference","Reference","Cambium NREL","Reference","40%",9122966127944.91,1157613212.61955,24892927868953.3,23222.8143594195,-15769961741.0084,1157589989.80519,13.6230978843056
"Ambitious","Reference","Reference","Cambium NREL","Reference","60%",9131089360324.07,1021326467.09788,24892927868953.3,23222.8143594195,-15761838508.6292,1021303244.28352,15.4330641725188
"Ambitious","Reference","Reference","Cambium NREL","Reference","80%",9139212592703.22,885039721.57621,24892927868953.3,23222.8143594195,-15753715276.2501,885016498.761851,17.8004763733667
"Ambitious","Reference","Reference","High Oil and Gas Supply","Improved MPG","0%",10609372319071.5,1430186690.35708,23026269431545.3,23211.0264514974,-12416897112.4738,1430163479.33063,8.68215227974175
"Ambitious","Reference","Reference","High Oil and Gas Supply","Improved MPG","20%",10617495551450.7,1293899944.83541,23026269431545.3,23211.0264514974,-12408773880.0947,1293876733.80896,9.59038334630631
"Ambitious","Reference","Reference","High Oil and Gas Supply","Improved MPG","40%",10625618783829.8,1157613199.31374,23026269431545.3,23211.0264514974,-12400650647.7155,1157589988.28729,10.712472268409
"Ambitious","Reference","Reference","High Oil and Gas Supply","Improved MPG","60%",10633742016209,1021326453.79207,23026269431545.3,23211.0264514974,-12392527415.3363,1021303242.76562,12.1340331611777
"Ambitious","Reference","Reference","High Oil and Gas Supply","Improved MPG","80%",10641865248588.2,885039708.270403,23026269431545.3,23211.0264514974,-12384404182.9572,885016497.243952,13.9934161922673
"Ambitious","Reference","Reference","High Oil and Gas Supply","Reference","0%",10609372319071.5,1430186690.35708,24892927868953.3,23222.8143594195,-14283555549.8818,1430163467.54272,9.98735869992784
"Ambitious","Reference","Reference","High Oil and Gas Supply","Reference","20%",10617495551450.7,1293899944.83541,24892927868953.3,23222.8143594195,-14275432317.5026,1293876722.02105,11.0330699011295
