"Scenario","Year","Vehicle","age","modelYear","LIB"
"Ambitious-Reference",2036,"Cars",20,2016,1865
"Ambitious-Reference",2037,"Cars",0,2037,10080
"Ambitious-Reference",2037,"Cars",1,2036,15606
"Ambitious-Reference",2037,"Cars",2,2035,24075
"Ambitious-Reference",2037,"Cars",3,2034,32740
"Ambitious-Reference",2037,"Cars",4,2033,46483
"Ambitious-Reference",2037,"Cars",5,2032,65099
"Ambitious-Reference",2037,"Cars",6,2031,91807
"Ambitious-Reference",2037,"Cars",7,2030,128235
"Ambitious-Reference",2037,"Cars",8,2029,165715
"Ambitious-Reference",2037,"Cars",9,2028,199371
"Ambitious-Reference",2037,"Cars",10,2027,230400
"Ambitious-Reference",2037,"Cars",11,2026,260757
"Ambitious-Reference",2037,"Cars",12,2025,265589
"Ambitious-Reference",2037,"Cars",13,2024,179759
"Ambitious-Reference",2037,"Cars",14,2023,100502
"Ambitious-Reference",2037,"Cars",15,2022,79725
"Ambitious-Reference",2037,"Cars",16,2021,27330
"Ambitious-Reference",2037,"Cars",17,2020,9984
"Ambitious-Reference",2037,"Cars",18,2019,5331
"Ambitious-Reference",2037,"Cars",19,2018,2640
"Ambitious-Reference",2037,"Cars",20,2017,645
"Ambitious-Reference",2037,"Cars",21,2016,862
"Ambitious-Reference",2038,"Cars",0,2038,10240
"Ambitious-Reference",2038,"Cars",1,2037,15826
"Ambitious-Reference",2038,"Cars",2,2036,24474
"Ambitious-Reference",2038,"Cars",3,2035,37693
"Ambitious-Reference",2038,"Cars",4,2034,51126
"Ambitious-Reference",2038,"Cars",5,2033,72289
"Ambitious-Reference",2038,"Cars",6,2032,100611
"Ambitious-Reference",2038,"Cars",7,2031,140525
"Ambitious-Reference",2038,"Cars",8,2030,193381
"Ambitious-Reference",2038,"Cars",9,2029,244305
"Ambitious-Reference",2038,"Cars",10,2028,284199
"Ambitious-Reference",2038,"Cars",11,2027,312840
"Ambitious-Reference",2038,"Cars",12,2026,328051
"Ambitious-Reference",2038,"Cars",13,2025,304462
"Ambitious-Reference",2038,"Cars",14,2024,183610
"Ambitious-Reference",2038,"Cars",15,2023,89878
"Ambitious-Reference",2038,"Cars",16,2022,61914
"Ambitious-Reference",2038,"Cars",17,2021,18478
"Ambitious-Reference",2038,"Cars",18,2020,5949
"Ambitious-Reference",2038,"Cars",19,2019,2855
"Ambitious-Reference",2038,"Cars",20,2018,1299
"Ambitious-Reference",2038,"Cars",21,2017,294
"Ambitious-Reference",2038,"Cars",22,2016,381
"Ambitious-Reference",2039,"Cars",0,2039,10395
"Ambitious-Reference",2039,"Cars",1,2038,16077
"Ambitious-Reference",2039,"Cars",2,2037,24817
"Ambitious-Reference",2039,"Cars",3,2036,38308
"Ambitious-Reference",2039,"Cars",4,2035,58846
"Ambitious-Reference",2039,"Cars",5,2034,79494
"Ambitious-Reference",2039,"Cars",6,2033,111691
"Ambitious-Reference",2039,"Cars",7,2032,153958
"Ambitious-Reference",2039,"Cars",8,2031,211872
"Ambitious-Reference",2039,"Cars",9,2030,285058
"Ambitious-Reference",2039,"Cars",10,2029,348218
"Ambitious-Reference",2039,"Cars",11,2028,385892
"Ambitious-Reference",2039,"Cars",12,2027,393530
"Ambitious-Reference",2039,"Cars",13,2026,376037
"Ambitious-Reference",2039,"Cars",14,2025,310993
"Ambitious-Reference",2039,"Cars",15,2024,164213
"Ambitious-Reference",2039,"Cars",16,2023,69784
"Ambitious-Reference",2039,"Cars",17,2022,41849
"Ambitious-Reference",2039,"Cars",18,2021,11009
"Ambitious-Reference",2039,"Cars",19,2020,3184
"Ambitious-Reference",2039,"Cars",20,2019,1401
"Ambitious-Reference",2039,"Cars",21,2018,597
"Ambitious-Reference",2039,"Cars",22,2017,130
"Ambitious-Reference",2039,"Cars",23,2016,163
"Ambitious-Reference",2040,"Cars",0,2040,10563
"Ambitious-Reference",2040,"Cars",1,2039,16319
