"period","State","ev_share"
2033,"Illinois",0.0361201020157233
2034,"Illinois",0.0367956898035026
2035,"Illinois",0.0374712775912818
2036,"Illinois",0.0374712775912818
2037,"Illinois",0.0374712775912818
2038,"Illinois",0.0374712775912818
2039,"Illinois",0.0374712775912818
2040,"Illinois",0.0374712775912818
2041,"Illinois",0.0374712775912818
2042,"Illinois",0.0374712775912818
2043,"Illinois",0.0374712775912818
2044,"Illinois",0.0374712775912818
2045,"Illinois",0.0374712775912818
2046,"Illinois",0.0374712775912818
2047,"Illinois",0.0374712775912818
2048,"Illinois",0.0374712775912818
2049,"Illinois",0.0374712775912818
2050,"Illinois",0.0374712775912818
2023,"Indiana",0.00754310344827586
2024,"Indiana",0.00862195993922773
2025,"Indiana",0.00970081643017959
2026,"Indiana",0.0107796729211315
2027,"Indiana",0.0118585294120833
2028,"Indiana",0.0129373859030352
2029,"Indiana",0.0140162423939871
2030,"Indiana",0.0150950988849389
2031,"Indiana",0.0161739553758908
2032,"Indiana",0.0172528118668427
2033,"Indiana",0.0183316683577945
2034,"Indiana",0.0194105248487464
2035,"Indiana",0.0204893813396983
2036,"Indiana",0.0204893813396983
2037,"Indiana",0.0204893813396983
2038,"Indiana",0.0204893813396983
2039,"Indiana",0.0204893813396983
2040,"Indiana",0.0204893813396983
2041,"Indiana",0.0204893813396983
2042,"Indiana",0.0204893813396983
2043,"Indiana",0.0204893813396983
2044,"Indiana",0.0204893813396983
2045,"Indiana",0.0204893813396983
2046,"Indiana",0.0204893813396983
2047,"Indiana",0.0204893813396983
2048,"Indiana",0.0204893813396983
2049,"Indiana",0.0204893813396983
2050,"Indiana",0.0204893813396983
2023,"Iowa",0.00251436781609195
2024,"Iowa",0.00310280207262206
2025,"Iowa",0.00369123632915216
2026,"Iowa",0.00427967058568226
2027,"Iowa",0.00486810484221236
2028,"Iowa",0.00545653909874246
2029,"Iowa",0.00604497335527256
2030,"Iowa",0.00663340761180266
2031,"Iowa",0.00722184186833276
2032,"Iowa",0.00781027612486287
2033,"Iowa",0.00839871038139297
2034,"Iowa",0.00898714463792307
2035,"Iowa",0.00957557889445317
2036,"Iowa",0.00957557889445317
2037,"Iowa",0.00957557889445317
2038,"Iowa",0.00957557889445317
2039,"Iowa",0.00957557889445317
2040,"Iowa",0.00957557889445317
2041,"Iowa",0.00957557889445317
2042,"Iowa",0.00957557889445317
2043,"Iowa",0.00957557889445317
2044,"Iowa",0.00957557889445317
2045,"Iowa",0.00957557889445317
2046,"Iowa",0.00957557889445317
2047,"Iowa",0.00957557889445317
2048,"Iowa",0.00957557889445317
2049,"Iowa",0.00957557889445317
2050,"Iowa",0.00957557889445317
2023,"Kansas",0.00332255747126437
2024,"Kansas",0.00377734266213602
2025,"Kansas",0.00423212785300768
2026,"Kansas",0.00468691304387934
2027,"Kansas",0.00514169823475099
2028,"Kansas",0.00559648342562265
2029,"Kansas",0.00605126861649431
2030,"Kansas",0.00650605380736596
2031,"Kansas",0.00696083899823762
2032,"Kansas",0.00741562418910927
2033,"Kansas",0.00787040937998093
2034,"Kansas",0.00832519457085259
2035,"Kansas",0.00877997976172424
2036,"Kansas",0.00877997976172424
2037,"Kansas",0.00877997976172424
2038,"Kansas",0.00877997976172424
2039,"Kansas",0.00877997976172424
2040,"Kansas",0.00877997976172424
2041,"Kansas",0.00877997976172424
2042,"Kansas",0.00877997976172424
2043,"Kansas",0.00877997976172424
2044,"Kansas",0.00877997976172424
2045,"Kansas",0.00877997976172424
2046,"Kansas",0.00877997976172424
2047,"Kansas",0.00877997976172424
2048,"Kansas",0.00877997976172424
2049,"Kansas",0.00877997976172424
2050,"Kansas",0.00877997976172424
2023,"Kentucky",0.00359195402298851
2024,"Kentucky",0.00441881958026836
2025,"Kentucky",0.00524568513754821
2026,"Kentucky",0.00607255069482806
2027,"Kentucky",0.00689941625210791
2028,"Kentucky",0.00772628180938777
2029,"Kentucky",0.00855314736666762
2030,"Kentucky",0.00938001292394747
2031,"Kentucky",0.0102068784812273
2032,"Kentucky",0.0110337440385072
2033,"Kentucky",0.011860609595787
2034,"Kentucky",0.0126874751530669
2035,"Kentucky",0.0135143407103467
2036,"Kentucky",0.0135143407103467
2037,"Kentucky",0.0135143407103467
2038,"Kentucky",0.0135143407103467
2039,"Kentucky",0.0135143407103467
2040,"Kentucky",0.0135143407103467
2041,"Kentucky",0.0135143407103467
2042,"Kentucky",0.0135143407103467
2043,"Kentucky",0.0135143407103467
2044,"Kentucky",0.0135143407103467
2045,"Kentucky",0.0135143407103467
2046,"Kentucky",0.0135143407103467
2047,"Kentucky",0.0135143407103467
2048,"Kentucky",0.0135143407103467
2049,"Kentucky",0.0135143407103467
2050,"Kentucky",0.0135143407103467
2023,"Louisiana",0.00206537356321839
2024,"Louisiana",0.00303129671959193
2025,"Louisiana",0.00399721987596546
2026,"Louisiana",0.004963143032339
2027,"Louisiana",0.00592906618871254
2028,"Louisiana",0.00689498934508607
2029,"Louisiana",0.00786091250145961
2030,"Louisiana",0.00882683565783314
2031,"Louisiana",0.00979275881420668
2032,"Louisiana",0.0107586819705802
2033,"Louisiana",0.0117246051269538
2034,"Louisiana",0.0126905282833273
2035,"Louisiana",0.0136564514397008
2036,"Louisiana",0.0136564514397008
2037,"Louisiana",0.0136564514397008
2038,"Louisiana",0.0136564514397008
2039,"Louisiana",0.0136564514397008
2040,"Louisiana",0.0136564514397008
2041,"Louisiana",0.0136564514397008
2042,"Louisiana",0.0136564514397008
2043,"Louisiana",0.0136564514397008
2044,"Louisiana",0.0136564514397008
2045,"Louisiana",0.0136564514397008
2046,"Louisiana",0.0136564514397008
2047,"Louisiana",0.0136564514397008
2048,"Louisiana",0.0136564514397008
2049,"Louisiana",0.0136564514397008
2050,"Louisiana",0.0136564514397008
2023,"Maine",0.0021551724137931
2024,"Maine",0.00232285746537603
2025,"Maine",0.00249054251695896
2026,"Maine",0.00265822756854188
2027,"Maine",0.00282591262012481
2028,"Maine",0.00299359767170774
2029,"Maine",0.00316128272329066
2030,"Maine",0.00332896777487359
2031,"Maine",0.00349665282645652
2032,"Maine",0.00366433787803945
2033,"Maine",0.00383202292962237
2034,"Maine",0.0039997079812053
2035,"Maine",0.00416739303278823
2036,"Maine",0.00416739303278823
2037,"Maine",0.00416739303278823
2038,"Maine",0.00416739303278823
2039,"Maine",0.00416739303278823
2040,"Maine",0.00416739303278823
2041,"Maine",0.00416739303278823
2042,"Maine",0.00416739303278823
2043,"Maine",0.00416739303278823
2044,"Maine",0.00416739303278823
2045,"Maine",0.00416739303278823
2046,"Maine",0.00416739303278823
2047,"Maine",0.00416739303278823
2048,"Maine",0.00416739303278823
2049,"Maine",0.00416739303278823
2050,"Maine",0.00416739303278823
2023,"Maryland",0.0233477011494253
2024,"Maryland",0.0229398264168132
2025,"Maryland",0.0225319516842011
2026,"Maryland",0.022124076951589
2027,"Maryland",0.021716202218977
2028,"Maryland",0.0213083274863649
2029,"Maryland",0.0209004527537528
2030,"Maryland",0.0204925780211407
2031,"Maryland",0.0200847032885286
2032,"Maryland",0.0196768285559165
2033,"Maryland",0.0192689538233045
2034,"Maryland",0.0188610790906924
2035,"Maryland",0.0184532043580803
2036,"Maryland",0.0184532043580803
2037,"Maryland",0.0184532043580803
2038,"Maryland",0.0184532043580803
2039,"Maryland",0.0184532043580803
2040,"Maryland",0.0184532043580803
2041,"Maryland",0.0184532043580803
2042,"Maryland",0.0184532043580803
2043,"Maryland",0.0184532043580803
2044,"Maryland",0.0184532043580803
2045,"Maryland",0.0184532043580803
2046,"Maryland",0.0184532043580803
2047,"Maryland",0.0184532043580803
2048,"Maryland",0.0184532043580803
2049,"Maryland",0.0184532043580803
2050,"Maryland",0.0184532043580803
2023,"Massachusetts",0.0219109195402299
2024,"Massachusetts",0.0218270936882002
2025,"Massachusetts",0.0217432678361706
2026,"Massachusetts",0.0216594419841409
2027,"Massachusetts",0.0215756161321113
2028,"Massachusetts",0.0214917902800816
2029,"Massachusetts",0.021407964428052
2030,"Massachusetts",0.0213241385760224
2031,"Massachusetts",0.0212403127239927
2032,"Massachusetts",0.0211564868719631
2033,"Massachusetts",0.0210726610199334
2034,"Massachusetts",0.0209888351679038
2035,"Massachusetts",0.0209050093158741
2036,"Massachusetts",0.0209050093158741
2037,"Massachusetts",0.0209050093158741
2038,"Massachusetts",0.0209050093158741
2039,"Massachusetts",0.0209050093158741
2040,"Massachusetts",0.0209050093158741
2041,"Massachusetts",0.0209050093158741
2042,"Massachusetts",0.0209050093158741
2043,"Massachusetts",0.0209050093158741
2044,"Massachusetts",0.0209050093158741
2045,"Massachusetts",0.0209050093158741
2046,"Massachusetts",0.0209050093158741
2047,"Massachusetts",0.0209050093158741
2048,"Massachusetts",0.0209050093158741
2049,"Massachusetts",0.0209050093158741
2050,"Massachusetts",0.0209050093158741
2023,"Michigan",0.0154454022988506
2024,"Michigan",0.0166557510032201
2025,"Michigan",0.0178660997075896
2026,"Michigan",0.0190764484119592
2027,"Michigan",0.0202867971163287
2028,"Michigan",0.0214971458206982
2029,"Michigan",0.0227074945250678
2030,"Michigan",0.0239178432294373
2031,"Michigan",0.0251281919338068
2032,"Michigan",0.0263385406381764
2033,"Michigan",0.0275488893425459
2034,"Michigan",0.0287592380469154
2035,"Michigan",0.029969586751285
2036,"Michigan",0.029969586751285
2037,"Michigan",0.029969586751285
2038,"Michigan",0.029969586751285
2039,"Michigan",0.029969586751285
2040,"Michigan",0.029969586751285
2041,"Michigan",0.029969586751285
2042,"Michigan",0.029969586751285
2043,"Michigan",0.029969586751285
2044,"Michigan",0.029969586751285
2045,"Michigan",0.029969586751285
2046,"Michigan",0.029969586751285
2047,"Michigan",0.029969586751285
2048,"Michigan",0.029969586751285
2049,"Michigan",0.029969586751285
2050,"Michigan",0.029969586751285
2023,"Minnesota",0.0114942528735632
2024,"Minnesota",0.0119641032081652
2025,"Minnesota",0.0124339535427671
2026,"Minnesota",0.0129038038773691
2027,"Minnesota",0.013373654211971
2028,"Minnesota",0.013843504546573
2029,"Minnesota",0.0143133548811749
2030,"Minnesota",0.0147832052157769
2031,"Minnesota",0.0152530555503788
2032,"Minnesota",0.0157229058849808
2033,"Minnesota",0.0161927562195827
2034,"Minnesota",0.0166626065541847
2035,"Minnesota",0.0171324568887866
2036,"Minnesota",0.0171324568887866
2037,"Minnesota",0.0171324568887866
2038,"Minnesota",0.0171324568887866
2039,"Minnesota",0.0171324568887866
2040,"Minnesota",0.0171324568887866
2041,"Minnesota",0.0171324568887866
2042,"Minnesota",0.0171324568887866
2043,"Minnesota",0.0171324568887866
2044,"Minnesota",0.0171324568887866
2045,"Minnesota",0.0171324568887866
2046,"Minnesota",0.0171324568887866
2047,"Minnesota",0.0171324568887866
2048,"Minnesota",0.0171324568887866
2049,"Minnesota",0.0171324568887866
2050,"Minnesota",0.0171324568887866
2023,"Mississippi",0.00107758620689655
2024,"Mississippi",0.00171923934703329
2025,"Mississippi",0.00236089248717003
2026,"Mississippi",0.00300254562730677
2027,"Mississippi",0.00364419876744351
2028,"Mississippi",0.00428585190758024
2029,"Mississippi",0.00492750504771698
2030,"Mississippi",0.00556915818785372
2031,"Mississippi",0.00621081132799046
2032,"Mississippi",0.0068524644681272
2033,"Mississippi",0.00749411760826394
2034,"Mississippi",0.00813577074840068
2035,"Mississippi",0.00877742388853741
2036,"Mississippi",0.00877742388853741
2037,"Mississippi",0.00877742388853741
2038,"Mississippi",0.00877742388853741
2039,"Mississippi",0.00877742388853741
2040,"Mississippi",0.00877742388853741
2041,"Mississippi",0.00877742388853741
2042,"Mississippi",0.00877742388853741
2043,"Mississippi",0.00877742388853741
2044,"Mississippi",0.00877742388853741
2045,"Mississippi",0.00877742388853741
2046,"Mississippi",0.00877742388853741
2047,"Mississippi",0.00877742388853741
2048,"Mississippi",0.00877742388853741
2049,"Mississippi",0.00877742388853741
2050,"Mississippi",0.00877742388853741
2023,"Missouri",0.00808189655172414
2024,"Missouri",0.008950129177652
2025,"Missouri",0.00981836180357986
2026,"Missouri",0.0106865944295077
2027,"Missouri",0.0115548270554356
2028,"Missouri",0.0124230596813634
2029,"Missouri",0.0132912923072913
2030,"Missouri",0.0141595249332192
2031,"Missouri",0.015027757559147
2032,"Missouri",0.0158959901850749
2033,"Missouri",0.0167642228110028
2034,"Missouri",0.0176324554369306
2035,"Missouri",0.0185006880628585
2036,"Missouri",0.0185006880628585
2037,"Missouri",0.0185006880628585
2038,"Missouri",0.0185006880628585
2039,"Missouri",0.0185006880628585
2040,"Missouri",0.0185006880628585
2041,"Missouri",0.0185006880628585
2042,"Missouri",0.0185006880628585
2043,"Missouri",0.0185006880628585
2044,"Missouri",0.0185006880628585
2045,"Missouri",0.0185006880628585
2046,"Missouri",0.0185006880628585
2047,"Missouri",0.0185006880628585
2048,"Missouri",0.0185006880628585
2049,"Missouri",0.0185006880628585
2050,"Missouri",0.0185006880628585
2023,"Montana",0.00116738505747126
2024,"Montana",0.00135196860569189
2025,"Montana",0.00153655215391251
2026,"Montana",0.00172113570213313
2027,"Montana",0.00190571925035375
2028,"Montana",0.00209030279857437
2029,"Montana",0.00227488634679499
2030,"Montana",0.00245946989501561
2031,"Montana",0.00264405344323624
2032,"Montana",0.00282863699145686
2033,"Montana",0.00301322053967748
2034,"Montana",0.0031978040878981
2035,"Montana",0.00338238763611872
2036,"Montana",0.00338238763611872
2037,"Montana",0.00338238763611872
2038,"Montana",0.00338238763611872
