"State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent"
"Wisconsin","Lincoln County","55","069","Lincoln",28405,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"New York","Franklin County","36","033","Franklin",46502,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Virginia","Fredericksburg city","51","630","Fredericksburg",28928,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"West Virginia","Raleigh County","54","081","Raleigh",72356,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"New Mexico","Chaves County","35","005","Chaves",63561,"Mountain","SPPS","Southwest Power Pool / South","WECC Southwest","US-WECC"
"New Mexico","Santa Fe County","35","049","Santa Fe",155956,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"California","Orange County","06","059","Orange",3135755,"Pacific","CASO","Western Electricity Coordinating Council / California South","WECC California","US-WECC"
"Arizona","Santa Cruz County","04","023","Santa Cruz",49158,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"North Carolina","Currituck County","37","053","Currituck",31593,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Illinois","Lawrence County","17","101","Lawrence",14813,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Indiana","Howard County","18","067","Howard",83831,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Indiana","Pike County","18","125","Pike",12106,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Kentucky","Christian County","21","047","Christian",72032,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Michigan","Eaton County","26","045","Eaton",108820,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Iowa","Wapello County","19","179","Wapello",35166,"West North Central","MISW","Midcontinent / West","SERC Midwest","US-SERC"
"California","Imperial County","06","025","Imperial",179057,"Pacific","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Michigan","Cass County","26","027","Cass",51642,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Mississippi","Wilkinson County","28","157","Wilkinson",8058,"East South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Alaska","Yakutat City and Borough","02","282","Yakutat",687,"Pacific",NA,NA,"ASCC Miscellaneous","US-ASCC"
"Kansas","Sheridan County","20","179","Sheridan",2423,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Mississippi","Leake County","28","079","Leake",21258,"East South Central","MISS","Midcontinent / South","SERC Tennessee Valley","US-SERC"
"Mississippi","Clay County","28","025","Clay",18206,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Mississippi","Franklin County","28","037","Franklin",7610,"East South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Mississippi","Neshoba County","28","099","Neshoba",28789,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC Tennessee Valley","US-SERC"
"South Dakota","Edmunds County","46","045","Edmunds",4057,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Alabama","Conecuh County","01","035","Conecuh",11174,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Indiana","Dearborn County","18","029","Dearborn",51215,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Indiana","Jackson County","18","071","Jackson",46460,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Mississippi","Lee County","28","081","Lee",82799,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Louisiana","West Feliciana Parish","22","125","West Feliciana",15371,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Arkansas","Crittenden County","05","035","Crittenden",47139,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Florida","Jackson County","12","063","Jackson",48622,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","FRCC All","US-SERC"
"Texas","Dickens County","48","125","Dickens",1711,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Virginia","Mathews County","51","115","Mathews",8514,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"North Dakota","Renville County","38","075","Renville",2279,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Texas","La Salle County","48","283","La Salle",6537,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"New York","Onondaga County","36","067","Onondaga",467873,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Iowa","Henry County","19","087","Henry",19547,"West North Central","MISW","Midcontinent / West","SERC Midwest","US-SERC"
"Nebraska","Harlan County","31","083","Harlan",3045,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Montana","Powder River County","30","075","Powder River",1743,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Wisconsin","Pepin County","55","091","Pepin",7441,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Arizona","Apache County","04","001","Apache",65036,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Northwest","US-WECC"
"Missouri","Macon County","29","121","Macon",15161,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Texas","Lamb County","48","279","Lamb",12711,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Kansas","Kiowa County","20","097","Kiowa",2374,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Texas","Austin County","48","015","Austin",31677,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Missouri","Daviess County","29","061","Daviess",8551,"West North Central","SPPC","Southwest Power Pool / Central","SERC Midwest","US-SERC"
"Georgia","Seminole County","13","253","Seminole",9092,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Michigan","Manistee County","26","101","Manistee",25562,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Iowa","Lyon County","19","119","Lyon",12324,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Texas","Hutchinson County","48","233","Hutchinson",20033,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Oklahoma","Texas County","40","139","Texas",20371,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Oklahoma","Woodward County","40","153","Woodward",19947,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Iowa","Adams County","19","003","Adams",3544,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"California","Sutter County","06","101","Sutter",97948,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Pennsylvania","Potter County","42","105","Potter",15999,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Texas","Val Verde County","48","465","Val Verde",47720,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Kansas","Harper County","20","077","Harper",5435,"West North Central","SPPC","Southwest Power Pool / Central","SPP South","US-MRO"
"Iowa","Monona County","19","133","Monona",8493,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Utah","Juab County","49","023","Juab",13023,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Oklahoma","Stephens County","40","137","Stephens",44014,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"New York","Chenango County","36","017","Chenango",45920,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Illinois","Peoria County","17","143","Peoria",177513,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Iowa","Humboldt County","19","091","Humboldt",9500,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Nebraska","Washington County","31","177","Washington",21152,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Wisconsin","Iowa County","55","049","Iowa",23956,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"Minnesota","Morrison County","27","097","Morrison",34250,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Pennsylvania","Allegheny County","42","003","Allegheny",1224825,"Middle Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Missouri","Shelby County","29","205","Shelby",5931,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Ohio","Madison County","39","097","Madison",44602,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Kansas","Washington County","20","201","Washington",5504,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Illinois","Champaign County","17","019","Champaign",205644,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Idaho","Washington County","16","087","Washington",11425,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Illinois","Edgar County","17","045","Edgar",16334,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Colorado","Washington County","08","121","Washington",4855,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Ohio","Hardin County","39","065","Hardin",30368,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Michigan","Missaukee County","26","113","Missaukee",15311,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"North Dakota","Stutsman County","38","093","Stutsman",21392,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Missouri","Shannon County","29","203","Shannon",7238,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Texas","Smith County","48","423","Smith",245209,"West South Central","TRE","Texas Reliability Entity","SPP South","US-MRO"
"Oklahoma","Tulsa County","40","143","Tulsa",682868,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Oklahoma","McIntosh County","40","091","McIntosh",19603,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Texas","Robertson County","48","395","Robertson",17267,"West South Central","MISS","Midcontinent / South","ERCOT All","US-TRE"
"Texas","Gillespie County","48","171","Gillespie",27733,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Michigan","Oakland County","26","125","Oakland",1270426,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"North Dakota","Golden Valley County","38","033","Golden Valley",1743,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Wyoming","Niobrara County","56","027","Niobrara",2354,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Minnesota","Pipestone County","27","117","Pipestone",9245,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Virginia","King George County","51","099","King George",28568,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Washington","Grant County","53","025","Grant",102678,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Minnesota","Renville County","27","129","Renville",14348,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Florida","Alachua County","12","001","Alachua",285994,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Nebraska","Hooker County","31","091","Hooker",679,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Virginia","Prince Edward County","51","147","Prince Edward",22049,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Utah","Carbon County","49","007","Carbon",20609,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Pennsylvania","Bucks County","42","017","Bucks",645984,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"South Dakota","Hand County","46","059","Hand",3107,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Pennsylvania","Lycoming County","42","081","Lycoming",112724,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Idaho","Latah County","16","057","Latah",41301,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Georgia","Putnam County","13","237","Putnam",23129,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Virginia","Galax city","51","640","Galax",6717,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"New Mexico","Quay County","35","037","Quay",8510,"Mountain","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Texas","King County","48","269","King",217,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Arkansas","Lafayette County","05","073","Lafayette",6095,"West South Central","SPPS","Southwest Power Pool / South","SERC Mississippi Valley","US-SERC"
"Texas","Tom Green County","48","451","Tom Green",119057,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Florida","Hardee County","12","049","Hardee",25760,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Ohio","Clermont County","39","025","Clermont",211972,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Texas","Yoakum County","48","501","Yoakum",7468,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Oregon","Yamhill County","41","071","Yamhill",108644,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Iowa","Louisa County","19","115","Louisa",10513,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Kansas","Elk County","20","049","Elk",2467,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Ohio","Noble County","39","121","Noble",14311,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Ohio","Putnam County","39","137","Putnam",34199,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Texas","Somervell County","48","425","Somervell",9888,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Pennsylvania","Lebanon County","42","075","Lebanon",144252,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Montana","Glacier County","30","035","Glacier",13609,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Nevada","Pershing County","32","027","Pershing",6364,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Minnesota","Mahnomen County","27","087","Mahnomen",5280,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"New Jersey","Passaic County","34","031","Passaic",513395,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Montana","Lake County","30","047","Lake",33338,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Texas","Kenedy County","48","261","Kenedy",343,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Texas","Borden County","48","033","Borden",572,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Missouri","Perry County","29","157","Perry",18950,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Texas","San Saba County","48","411","San Saba",5845,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Oklahoma","Kingfisher County","40","073","Kingfisher",15481,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Texas","Burleson County","48","051","Burleson",19475,"West South Central","MISS","Midcontinent / South","ERCOT All","US-TRE"
"New York","Fulton County","36","035","Fulton",52234,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Mississippi","Sunflower County","28","133","Sunflower",24468,"East South Central","MISS","Midcontinent / South","SERC South","US-SERC"
"Minnesota","Hennepin County","27","053","Hennepin",1258713,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Pennsylvania","Centre County","42","027","Centre",157795,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Texas","Bee County","48","025","Bee",30850,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Tennessee","Henderson County","47","077","Henderson",28070,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Iowa","Tama County","19","171","Tama",16833,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Kansas","Seward County","20","175","Seward",21067,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Iowa","Monroe County","19","135","Monroe",7504,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Nebraska","Richardson County","31","147","Richardson",7689,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Illinois","Christian County","17","021","Christian",33228,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Florida","Nassau County","12","089","Nassau",101501,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Florida","Washington County","12","133","Washington",25602,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Baker County","13","007","Baker",2743,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Thomas County","13","275","Thomas",45649,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Kentucky","Anderson County","21","005","Anderson",24613,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Kentucky","Oldham County","21","185","Oldham",70183,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Georgia","Cherokee County","13","057","Cherokee",286602,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"North Dakota","Oliver County","38","065","Oliver",1879,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Michigan","Osceola County","26","133","Osceola",23330,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Tennessee","McNairy County","47","109","McNairy",26163,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Washington","Adams County","53","001","Adams",20820,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Missouri","Dade County","29","057","Dade",7716,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Louisiana","St. Mary Parish","22","101","St. Mary",47055,"West South Central","MISS","Midcontinent / South","SPP South","US-MRO"
"Vermont","Chittenden County","50","007","Chittenden",169481,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Hawaii","Maui County","15","009","Maui",164183,"Pacific",NA,NA,"HICC Miscellaneous","US-HICC"
"Louisiana","Lafourche Parish","22","057","Lafourche",95056,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Iowa","Muscatine County","19","139","Muscatine",42218,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Florida","Santa Rosa County","12","113","Santa Rosa",203162,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Indiana","Martin County","18","101","Martin",9897,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Kentucky","Rockcastle County","21","203","Rockcastle",16190,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Kentucky","Trimble County","21","223","Trimble",8607,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Georgia","Chattooga County","13","055","Chattooga",25222,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"South Carolina","Dillon County","45","033","Dillon",27698,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"North Carolina","Jones County","37","103","Jones",9401,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Missouri","Scotland County","29","199","Scotland",4676,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Kansas","Nemaha County","20","131","Nemaha",10114,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Kansas","Norton County","20","137","Norton",5330,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Nebraska","Furnas County","31","065","Furnas",4556,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Georgia","Decatur County","13","087","Decatur",29087,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Indiana","Wayne County","18","177","Wayne",66127,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Kentucky","Barren County","21","009","Barren",45008,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Nebraska","Howard County","31","093","Howard",6527,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"North Dakota","Dunn County","38","025","Dunn",4019,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"California","Amador County","06","005","Amador",41811,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Tennessee","Fentress County","47","049","Fentress",19696,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Kansas","Coffey County","20","031","Coffey",8251,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Michigan","Branch County","26","023","Branch",45215,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Virginia","Campbell County","51","031","Campbell",55270,"South Atlantic","PJMW","PJM / West","SERC Virginia/Carolina","US-SERC"
"Ohio","Meigs County","39","105","Meigs",21767,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"West Virginia","Nicholas County","54","067","Nicholas",24169,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Oklahoma","Grant County","40","053","Grant",4083,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"South Dakota","Spink County","46","115","Spink",6166,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Vermont","Windsor County","50","027","Windsor",58101,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Texas","Trinity County","48","455","Trinity",14228,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"New Mexico","Bernalillo County","35","001","Bernalillo",671586,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Georgia","Mitchell County","13","205","Mitchell",21114,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Hawaii","Hawaii County","15","001","Hawaii",207615,"Pacific",NA,NA,"HICC Miscellaneous","US-HICC"
"Kentucky","McCreary County","21","147","McCreary",17050,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Kentucky","Pendleton County","21","191","Pendleton",14810,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Kentucky","Spencer County","21","215","Spencer",20531,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Montana","Hill County","30","041","Hill",16276,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Nebraska","Valley County","31","175","Valley",4012,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Texas","Castro County","48","069","Castro",7227,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Maryland","Washington County","24","043","Washington",155813,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Kentucky","Letcher County","21","133","Letcher",20423,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"New Jersey","Salem County","34","033","Salem",65338,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Virginia","Lynchburg city","51","680","Lynchburg",79535,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Arkansas","Saline County","05","125","Saline",129574,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"West Virginia","Mason County","54","053","Mason",24765,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"West Virginia","Gilmer County","54","021","Gilmer",7254,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Mississippi","Jefferson County","28","063","Jefferson",6941,"East South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"North Dakota","Rolette County","38","079","Rolette",11728,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Montana","Treasure County","30","103","Treasure",772,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Kentucky","Clark County","21","049","Clark",37304,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Michigan","Allegan County","26","005","Allegan",121939,"East North Central","PJMW","PJM / West","RFC Michigan","US-RFC"
"Tennessee","Benton County","47","005","Benton",16103,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Minnesota","Brown County","27","015","Brown",25628,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Tennessee","Pickett County","47","137","Pickett",5128,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Virginia","Louisa County","51","109","Louisa",41037,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Indiana","Shelby County","18","145","Shelby",45231,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Ohio","Franklin County","39","049","Franklin",1326063,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Utah","Iron County","49","021","Iron",64211,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Nevada","Esmeralda County","32","009","Esmeralda",736,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Michigan","Keweenaw County","26","083","Keweenaw",2172,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"Utah","Sanpete County","49","039","Sanpete",30277,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Kansas","Kearny County","20","093","Kearny",3823,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Florida","Brevard County","12","009","Brevard",643979,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Indiana","Monroe County","18","105","Monroe",139342,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Iowa","Lucas County","19","117","Lucas",8747,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Kentucky","Woodford County","21","239","Woodford",27268,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"South Carolina","Jasper County","45","053","Jasper",33544,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Texas","Brewster County","48","043","Brewster",9513,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"South Carolina","McCormick County","45","065","McCormick",9941,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"South Carolina","Union County","45","087","Union",26629,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Minnesota","Nicollet County","27","103","Nicollet",34242,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Wisconsin","Marinette County","55","075","Marinette",42106,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
