"State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent"
"Missouri","Adair County","29","001","Adair",25122,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Ohio","Erie County","39","043","Erie",74035,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Illinois","Vermilion County","17","183","Vermilion",71652,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Missouri","St. Louis County","29","189","St. Louis",987059,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Illinois","Boone County","17","007","Boone",53202,"East North Central","PJMC","PJM / Commonwealth Edison","RFC West","US-RFC"
"California","Tehama County","06","103","Tehama",64896,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Wisconsin","Dane County","55","025","Dane",575347,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"Texas","Fisher County","48","151","Fisher",3612,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Louisiana","Sabine Parish","22","085","Sabine",21906,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Illinois","Morgan County","17","137","Morgan",32140,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Georgia","Pulaski County","13","235","Pulaski",10095,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"North Carolina","Bertie County","37","015","Bertie",16922,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"North Carolina","Stanly County","37","167","Stanly",65699,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Tennessee","Rhea County","47","143","Rhea",33924,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
