"Scenario","Year","State","vehSize","total_gallons"
"Ambitious",2025,"North Dakota","Light Truck",2126617.97570904
"Ambitious",2025,"Ohio","Car",25005679.7989346
"Ambitious",2025,"Ohio","Light Truck",62703263.8441749
"Ambitious",2025,"Oklahoma","Car",10863644.5559614
"Ambitious",2025,"Oklahoma","Light Truck",23786504.4937729
"Ambitious",2025,"Oregon","Car",29399362.7829642
"Ambitious",2025,"Oregon","Light Truck",56002536.4266572
"Ambitious",2025,"Pennsylvania","Car",34779874.3645191
"Ambitious",2025,"Pennsylvania","Light Truck",82811586.0885923
"Ambitious",2025,"Rhode Island","Car",3070764.89622288
"Ambitious",2025,"Rhode Island","Light Truck",7679029.94500703
"Ambitious",2025,"South Carolina","Car",11796895.0334236
"Ambitious",2025,"South Carolina","Light Truck",24466664.9726393
"Ambitious",2025,"South Dakota","Car",1041138.27007652
"Ambitious",2025,"South Dakota","Light Truck",2720938.14098163
"Ambitious",2025,"Tennessee","Car",17377419.9528537
"Ambitious",2025,"Tennessee","Light Truck",37960452.2527732
"Ambitious",2025,"Texas","Car",115611969.604695
"Ambitious",2025,"Texas","Light Truck",252977507.284928
"Ambitious",2025,"Utah","Car",17640445.1780054
"Ambitious",2025,"Utah","Light Truck",42793222.9564509
"Ambitious",2025,"Vermont","Car",3609020.75533583
"Ambitious",2025,"Vermont","Light Truck",9054150.25412689
"Ambitious",2025,"Virginia","Car",42005230.6672855
"Ambitious",2025,"Virginia","Light Truck",87160520.133516
"Ambitious",2025,"Washington","Car",75761700.5914478
"Ambitious",2025,"Washington","Light Truck",144340409.351298
"Ambitious",2025,"West Virginia","Car",2010951.54579973
"Ambitious",2025,"West Virginia","Light Truck",4167315.59511858
"Ambitious",2025,"Wisconsin","Car",13935403.8048186
"Ambitious",2025,"Wisconsin","Light Truck",34866677.071967
"Ambitious",2025,"Wyoming","Car",692925.71967408
"Ambitious",2025,"Wyoming","Light Truck",1662359.65176861
"Ambitious",2026,"Alabama","Car",12455016.6811087
"Ambitious",2026,"Alabama","Light Truck",27310707.3110497
"Ambitious",2026,"Alaska","Car",2469668.17153292
"Ambitious",2026,"Alaska","Light Truck",4926114.90052576
"Ambitious",2026,"Arizona","Car",51750992.9928854
"Ambitious",2026,"Arizona","Light Truck",123801107.542429
"Ambitious",2026,"Arkansas","Car",6686982.67200727
"Ambitious",2026,"Arkansas","Light Truck",14877312.9982815
"Ambitious",2026,"California","Car",720121647.049228
"Ambitious",2026,"California","Light Truck",1421347225.59625
"Ambitious",2026,"Colorado","Car",60294910.6361854
"Ambitious",2026,"Colorado","Light Truck",144096011.621522
"Ambitious",2026,"Connecticut","Car",20678813.3946078
"Ambitious",2026,"Connecticut","Light Truck",50353251.7936634
"Ambitious",2026,"Delaware","Car",6517391.59470481
"Ambitious",2026,"Delaware","Light Truck",13803848.8632226
"Ambitious",2026,"District of Columbia","Car",5026190.86906014
"Ambitious",2026,"District of Columbia","Light Truck",10620471.3310123
