"Scenario","Year","age","modelYear","vehSize","LIB"
"Ambitious-Long",2034,11,2023,"Light Truck",20895.0862375122
"Ambitious-Long",2034,12,2022,"Car",17810.7408967917
"Ambitious-Long",2034,12,2022,"Light Truck",26249.2591032083
"Ambitious-Long",2034,13,2021,"Car",10569.6205870407
"Ambitious-Long",2034,13,2021,"Light Truck",15679.3794129593
"Ambitious-Long",2034,14,2020,"Car",7177.77380764449
"Ambitious-Long",2034,14,2020,"Light Truck",10684.2261923555
"Ambitious-Long",2034,15,2019,"Car",7449.61811476311
"Ambitious-Long",2034,15,2019,"Light Truck",10941.3818852369
"Ambitious-Long",2034,16,2018,"Car",7092.47527403273
"Ambitious-Long",2034,16,2018,"Light Truck",10313.5247259673
"Ambitious-Long",2034,17,2017,"Car",3158.89403614378
"Ambitious-Long",2034,17,2017,"Light Truck",4531.10596385622
"Ambitious-Long",2034,18,2016,"Car",7179.16013083107
"Ambitious-Long",2034,18,2016,"Light Truck",10124.8398691689
"Ambitious-Long",2035,0,2035,"Car",1098.81384114066
"Ambitious-Long",2035,0,2035,"Light Truck",1982.18615885934
"Ambitious-Long",2035,1,2034,"Car",1500.08365565095
"Ambitious-Long",2035,1,2034,"Light Truck",2737.91634434905
"Ambitious-Long",2035,2,2033,"Car",2122.69250557297
"Ambitious-Long",2035,2,2033,"Light Truck",3960.30749442703
"Ambitious-Long",2035,3,2032,"Car",3103.58903432209
"Ambitious-Long",2035,3,2032,"Light Truck",5583.41096567791
"Ambitious-Long",2035,4,2031,"Car",4522.79539872479
"Ambitious-Long",2035,4,2031,"Light Truck",8013.20460127521
"Ambitious-Long",2035,5,2030,"Car",6563.20497385963
"Ambitious-Long",2035,5,2030,"Light Truck",11439.7950261404
"Ambitious-Long",2035,6,2029,"Car",8659.47464111635
"Ambitious-Long",2035,6,2029,"Light Truck",15490.5253588836
"Ambitious-Long",2035,7,2028,"Car",11127.9100565215
"Ambitious-Long",2035,7,2028,"Light Truck",19572.0899434785
"Ambitious-Long",2035,8,2027,"Car",14078.6098893906
"Ambitious-Long",2035,8,2027,"Light Truck",24242.3901106094
"Ambitious-Long",2035,9,2026,"Car",20001.0021745153
"Ambitious-Long",2035,9,2026,"Light Truck",32607.9978254847
"Ambitious-Long",2035,10,2025,"Car",31121.8048605546
"Ambitious-Long",2035,10,2025,"Light Truck",47812.1951394454
"Ambitious-Long",2035,11,2024,"Car",25694.7659177864
"Ambitious-Long",2035,11,2024,"Light Truck",42359.2340822136
"Ambitious-Long",2035,12,2023,"Car",20014.4696314341
"Ambitious-Long",2035,12,2023,"Light Truck",29649.5303685659
"Ambitious-Long",2035,13,2022,"Car",24037.2239206973
"Ambitious-Long",2035,13,2022,"Light Truck",35425.7760793027
"Ambitious-Long",2035,14,2021,"Car",13294.0692476342
"Ambitious-Long",2035,14,2021,"Light Truck",19720.9307523658
"Ambitious-Long",2035,15,2020,"Car",8226.1901028043
"Ambitious-Long",2035,15,2020,"Light Truck",12244.8098971957
"Ambitious-Long",2035,16,2019,"Car",7611.24051853618
"Ambitious-Long",2035,16,2019,"Light Truck",11178.7594814638
"Ambitious-Long",2035,17,2018,"Car",6349.24449729852
"Ambitious-Long",2035,17,2018,"Light Truck",9232.75550270147
"Ambitious-Long",2035,18,2017,"Car",2454.81804421264
"Ambitious-Long",2035,18,2017,"Light Truck",3521.18195578736
"Ambitious-Long",2035,19,2016,"Car",4854.97756882716
"Ambitious-Long",2035,19,2016,"Light Truck",6847.02243117283
"Ambitious-Long",2036,0,2036,"Car",1117.27716607211
"Ambitious-Long",2036,0,2036,"Light Truck",1999.7228339279
