"Scenario","Year","State","vehSize","total_kwh"
"Ambitious",2024,"Arizona","Car",179776145.499029
"Ambitious",2024,"Arizona","Light Truck",483911905.569607
"Ambitious",2024,"Arkansas","Car",18663774.0925045
"Ambitious",2024,"Arkansas","Light Truck",40777856.8429678
"Ambitious",2024,"California","Car",3232948141.54061
"Ambitious",2024,"California","Light Truck",5707296796.38422
"Ambitious",2024,"Colorado","Car",193910286.989027
"Ambitious",2024,"Colorado","Light Truck",522010149.644442
"Ambitious",2024,"Connecticut","Car",57523441.3395567
"Ambitious",2024,"Connecticut","Light Truck",192066774.245148
"Ambitious",2024,"Delaware","Car",22598780.9986627
"Ambitious",2024,"Delaware","Light Truck",46020401.4509646
"Ambitious",2024,"District of Columbia","Car",19661453.2998424
"Ambitious",2024,"District of Columbia","Light Truck",39288745.583992
"Ambitious",2024,"Florida","Car",667692132.356944
"Ambitious",2024,"Florida","Light Truck",1354126572.30121
"Ambitious",2024,"Georgia","Car",250083741.898345
"Ambitious",2024,"Georgia","Light Truck",506715745.042492
"Ambitious",2024,"Hawaii","Car",61986657.5839821
"Ambitious",2024,"Hawaii","Light Truck",108510075.606253
"Ambitious",2024,"Idaho","Car",18718207.9833096
"Ambitious",2024,"Idaho","Light Truck",50394811.3054179
"Ambitious",2024,"Illinois","Car",190207101.433916
"Ambitious",2024,"Illinois","Light Truck",621921563.042555
"Ambitious",2024,"Indiana","Car",51746527.4709046
"Ambitious",2024,"Indiana","Light Truck",169022926.670281
"Ambitious",2024,"Iowa","Car",17501287.727246
"Ambitious",2024,"Iowa","Light Truck",60305531.3869645
"Ambitious",2024,"Kansas","Car",21657540.9188023
"Ambitious",2024,"Kansas","Light Truck",74588987.9940972
"Ambitious",2024,"Kentucky","Car",30621673.8712402
"Ambitious",2024,"Kentucky","Light Truck",71785472.4179919
"Ambitious",2024,"Louisiana","Car",22231930.6744268
"Ambitious",2024,"Louisiana","Light Truck",48727778.0266831
"Ambitious",2024,"Maine","Car",14162446.9394672
"Ambitious",2024,"Maine","Light Truck",47298695.9285651
"Ambitious",2024,"Maryland","Car",192160646.863511
"Ambitious",2024,"Maryland","Light Truck",391018257.554749
"Ambitious",2024,"Massachusetts","Car",137718291.341476
"Ambitious",2024,"Massachusetts","Light Truck",459921668.443045
"Ambitious",2024,"Michigan","Car",100265437.939838
"Ambitious",2024,"Michigan","Light Truck",327632408.651006
"Ambitious",2024,"Minnesota","Car",70138859.7565465
"Ambitious",2024,"Minnesota","Light Truck",241625777.880062
"Ambitious",2024,"Mississippi","Car",10550454.0270459
"Ambitious",2024,"Mississippi","Light Truck",24886500.0999339
"Ambitious",2024,"Missouri","Car",51548706.4510645
"Ambitious",2024,"Missouri","Light Truck",177568456.4046
"Ambitious",2024,"Montana","Car",9960337.87326247
"Ambitious",2024,"Montana","Light Truck",26830499.6995201
"Ambitious",2024,"Nebraska","Car",13439368.5740188
"Ambitious",2024,"Nebraska","Light Truck",46267918.349536
"Ambitious",2024,"Nevada","Car",99144169.4960423
"Ambitious",2024,"Nevada","Light Truck",267051158.527729
"Ambitious",2024,"New Hampshire","Car",18017332.9750314
